round_id,profile_id,entry_at,settled_at,beijing_day,beijing_hour,seconds_to_round_start,pnl,cost,both_fill,single_fill,yes_first_fill_at,no_first_fill_at,both_complete_at,both_complete_seconds_to_start,first_fill_seconds_to_start,yes_fill_quote_age_seconds,no_fill_quote_age_seconds,limit_price,regime,chop_score,center_cross,range_bps,drift_ratio,momentum_ratio,queue_ratio,check_time_gap_seconds
btc-updown-5m-1786582800,btc-5m,2026-08-13 00:55:04.193000+00:00,2026-08-13 01:10:07.601000+00:00,2026-08-13,8,295.8069999217987,-1.2,1.2,False,True,2026-08-13T01:00:05.451Z,,,,-5.451,0.135,,0.29,,,,,,,,
btc-updown-5m-1786582500,btc-5m,2026-08-13 00:50:05.243000+00:00,2026-08-13 01:07:43.432000+00:00,2026-08-13,8,294.7569999694824,2.2,2.8,True,False,2026-08-13T00:55:25.403Z,2026-08-13T00:58:20.571Z,2026-08-13T00:58:20.571Z,-200.571,-25.403,0.003,0.229,0.29,,,,,,,,
btc-updown-15m-1786581900,btc-15m,2026-08-13 00:30:04.901000+00:00,2026-08-13 01:05:21.046000+00:00,2026-08-13,8,895.0989999771118,-1.55,1.55,False,True,,2026-08-13T00:47:34.044Z,,,-154.044,,0.014,0.31,,,,,,,,
btc-updown-5m-1786582200,btc-5m,2026-08-13 00:45:06.835000+00:00,2026-08-13 01:00:12.046000+00:00,2026-08-13,8,293.164999961853,-1.3,1.3,False,True,,2026-08-13T00:50:27.266Z,,,-27.266,,0.011,0.29,,,,,,,,
btc-updown-5m-1786581900,btc-5m,2026-08-13 00:40:04.448000+00:00,2026-08-13 00:54:25.096000+00:00,2026-08-13,8,295.55200004577637,2.3,2.7,True,False,2026-08-13T00:45:42.360Z,2026-08-13T00:47:10.000Z,2026-08-13T00:47:10.000Z,-130.0,-42.36,0.01,0.009,0.29,,,,,,,,
btc-updown-15m-1786581000,btc-15m,2026-08-13 00:15:07.652000+00:00,2026-08-13 00:49:43.883000+00:00,2026-08-13,8,892.3480000495911,-1.55,1.55,False,True,2026-08-13T00:31:18.918Z,,,,-78.918,0.034,,0.31,,,,,,,,
btc-updown-5m-1786581600,btc-5m,2026-08-13 00:35:07.151000+00:00,2026-08-13 00:49:24.820000+00:00,2026-08-13,8,292.8489999771118,-0.7,0.7,False,True,2026-08-13T00:41:44.088Z,,,,-104.088,0.005,,0.29,,,,,,,,
btc-updown-5m-1786581300,btc-5m,2026-08-13 00:30:07.064000+00:00,2026-08-13 00:44:42.206000+00:00,2026-08-13,8,292.9360001087189,-1.15,1.15,False,True,2026-08-13T00:37:54.844Z,,,,-174.844,0.052,,0.29,,,,,,,,
btc-updown-5m-1786581000,btc-5m,2026-08-13 00:25:04.150000+00:00,2026-08-13 00:42:21.789000+00:00,2026-08-13,8,295.84999990463257,-1.3,1.3,False,True,2026-08-13T00:31:08.292Z,,,,-68.292,0.01,,0.29,,,,,,,,
btc-updown-15m-1786580100,btc-15m,2026-08-13 00:00:07.869000+00:00,2026-08-13 00:38:05.372000+00:00,2026-08-13,8,892.1310000419617,2.25,2.75,True,False,2026-08-13T00:26:35.339Z,2026-08-13T00:16:40.846Z,2026-08-13T00:26:35.339Z,-695.339,-100.846,0.002,0.021,0.31,,,,,,,,
btc-updown-5m-1786580400,btc-5m,2026-08-13 00:15:05.727000+00:00,2026-08-13 00:33:50.624000+00:00,2026-08-13,8,294.27300000190735,-1.35,1.35,False,True,2026-08-13T00:20:30.131Z,,,,-30.131,0.013,,0.29,,,,,,,,
btc-updown-5m-1786580700,btc-5m,2026-08-13 00:20:06.363000+00:00,2026-08-13 00:33:28.667000+00:00,2026-08-13,8,293.63700008392334,2.6,2.4,True,False,2026-08-13T00:25:49.561Z,2026-08-13T00:29:11.162Z,2026-08-13T00:29:11.162Z,-251.162,-49.561,0.009,0.009,0.29,,,,,,,,
btc-updown-5m-1786580100,btc-5m,2026-08-13 00:10:04.665000+00:00,2026-08-13 00:28:51.272000+00:00,2026-08-13,8,295.335000038147,-1.35,1.35,False,True,,2026-08-13T00:16:12.866Z,,,-72.866,,0.016,0.29,,,,,,,,
btc-updown-5m-1786579800,btc-5m,2026-08-13 00:05:06.077000+00:00,2026-08-13 00:23:47.002000+00:00,2026-08-13,8,293.9230000972748,-1.3,1.3,False,True,,2026-08-13T00:14:02.710Z,,,-242.71,,0.023,0.29,,,,,,,,
btc-updown-15m-1786579200,btc-15m,2026-08-12 23:45:02.939000+00:00,2026-08-13 00:20:01.322000+00:00,2026-08-13,7,897.0610001087189,-1.1,1.1,False,True,,2026-08-13T00:05:28.346Z,,,-328.346,,0.912,0.31,,,,,,,,
btc-updown-5m-1786579500,btc-5m,2026-08-13 00:00:11.509000+00:00,2026-08-13 00:13:48.226000+00:00,2026-08-13,8,288.4909999370575,-0.6,0.6,False,True,,2026-08-13T00:05:27.477Z,,,-27.477,,0.012,0.29,,,,,,,,
btc-updown-5m-1786579200,btc-5m,2026-08-12 23:55:06.510000+00:00,2026-08-13 00:10:47.490000+00:00,2026-08-13,7,293.49000000953674,2.6,2.4,True,False,2026-08-13T00:04:22.778Z,2026-08-13T00:00:49.525Z,2026-08-13T00:04:22.778Z,-262.778,-49.525,0.009,0.003,0.29,,,,,,,,
btc-updown-15m-1786578300,btc-15m,2026-08-12 23:30:07.775000+00:00,2026-08-13 00:04:52.936000+00:00,2026-08-13,7,892.2249999046326,-1.1,1.1,False,True,,2026-08-12T23:51:04.213Z,,,-364.213,,0.008,0.31,,,,,,,,
btc-updown-5m-1786578900,btc-5m,2026-08-12 23:50:03.388000+00:00,2026-08-13 00:03:41.953000+00:00,2026-08-13,7,296.6119999885559,-1.1,1.1,False,True,,2026-08-12T23:58:20.796Z,,,-200.796,,0.006,0.29,,,,,,,,
btc-updown-5m-1786578600,btc-5m,2026-08-12 23:45:05.092000+00:00,2026-08-13 00:00:51.491000+00:00,2026-08-13,7,294.9079999923706,-1.05,1.05,False,True,,2026-08-12T23:51:05.960Z,,,-65.96,,0.003,0.29,,,,,,,,
btc-updown-15m-1786577400,btc-15m,2026-08-12 23:15:04.581000+00:00,2026-08-12 23:53:48.223000+00:00,2026-08-13,7,895.4189999103546,2.25,2.75,True,False,2026-08-12T23:43:07.636Z,2026-08-12T23:31:17.312Z,2026-08-12T23:43:07.636Z,-787.636,-77.312,0.006,0.013,0.31,,,,,,,,
btc-updown-5m-1786578300,btc-5m,2026-08-12 23:40:05.117000+00:00,2026-08-12 23:53:30.102000+00:00,2026-08-13,7,294.8829998970032,-1.4,1.4,False,True,,2026-08-12T23:45:29.086Z,,,-29.086,,0.007,0.29,,,,,,,,
btc-updown-5m-1786578000,btc-5m,2026-08-12 23:35:05.900000+00:00,2026-08-12 23:53:26.233000+00:00,2026-08-13,7,294.09999990463257,-1.45,1.45,False,True,2026-08-12T23:40:43.314Z,,,,-43.314,0.008,,0.29,,,,,,,,
btc-updown-5m-1786577700,btc-5m,2026-08-12 23:30:05.785000+00:00,2026-08-12 23:43:20.771000+00:00,2026-08-13,7,294.2149999141693,-1.25,1.25,False,True,,2026-08-12T23:35:38.267Z,,,-38.267,,0.008,0.29,,,,,,,,
btc-updown-5m-1786577400,btc-5m,2026-08-12 23:25:03.834000+00:00,2026-08-12 23:42:50.362000+00:00,2026-08-13,7,296.1659998893738,-1.4,1.4,False,True,,2026-08-12T23:31:07.735Z,,,-67.735,,0.01,0.29,,,,,,,,
btc-updown-15m-1786576500,btc-15m,2026-08-12 23:00:05.465000+00:00,2026-08-12 23:36:23.588000+00:00,2026-08-13,7,894.5350000858307,2.35,2.65,True,False,2026-08-12T23:24:09.497Z,2026-08-12T23:16:00.959Z,2026-08-12T23:24:09.497Z,-549.497,-60.959,0.007,0.021,0.31,,,,,,,,
btc-updown-5m-1786577100,btc-5m,2026-08-12 23:20:06.028000+00:00,2026-08-12 23:34:26.467000+00:00,2026-08-13,7,293.97199988365173,2.3,2.7,True,False,2026-08-12T23:27:17.734Z,2026-08-12T23:26:01.818Z,2026-08-12T23:27:17.734Z,-137.734,-61.818,0.003,0.013,0.29,,,,,,,,
btc-updown-5m-1786576800,btc-5m,2026-08-12 23:15:06.656000+00:00,2026-08-12 23:31:05.778000+00:00,2026-08-13,7,293.3440001010895,-1.35,1.35,False,True,2026-08-12T23:21:31.846Z,,,,-91.846,0.007,,0.29,,,,,,,,
btc-updown-5m-1786576500,btc-5m,2026-08-12 23:10:04.149000+00:00,2026-08-12 23:25:04.899000+00:00,2026-08-13,7,295.8510000705719,-1.4,1.4,False,True,,2026-08-12T23:15:33.328Z,,,-33.328,,0.838,0.29,,,,,,,,
btc-updown-5m-1786576200,btc-5m,2026-08-12 23:05:05.161000+00:00,2026-08-12 23:22:33.231000+00:00,2026-08-13,7,294.83899998664856,2.55,2.45,True,False,2026-08-12T23:12:14.261Z,2026-08-12T23:11:33.567Z,2026-08-12T23:12:14.261Z,-134.261,-93.567,0.003,2.878,0.29,,,,,,,,
btc-updown-15m-1786575600,btc-15m,2026-08-12 22:45:03.620000+00:00,2026-08-12 23:20:35.546000+00:00,2026-08-13,6,896.3800001144409,2.3,2.7,True,False,2026-08-12T23:02:32.996Z,2026-08-12T23:11:31.614Z,2026-08-12T23:11:31.614Z,-691.614,-152.996,0.002,0.925,0.31,,,,,,,,
btc-updown-5m-1786575900,btc-5m,2026-08-12 23:00:07.655000+00:00,2026-08-12 23:18:09.392000+00:00,2026-08-13,7,292.34500002861023,2.65,2.35,True,False,2026-08-12T23:06:12.578Z,2026-08-12T23:08:23.317Z,2026-08-12T23:08:23.317Z,-203.317,-72.578,0.008,0.027,0.29,,,,,,,,
btc-updown-5m-1786575600,btc-5m,2026-08-12 22:55:03.283000+00:00,2026-08-12 23:09:20.472000+00:00,2026-08-13,6,296.7170000076294,-1.3,1.3,False,True,2026-08-12T23:02:15.509Z,,,,-135.509,0.011,,0.29,,,,,,,,
btc-updown-5m-1786575300,btc-5m,2026-08-12 22:50:04.459000+00:00,2026-08-12 23:04:26.783000+00:00,2026-08-13,6,295.5409998893738,2.15,2.85,True,False,2026-08-12T22:56:10.315Z,2026-08-12T22:57:06.187Z,2026-08-12T22:57:06.187Z,-126.187,-70.315,0.021,0.011,0.29,,,,,,,,
btc-updown-15m-1786574700,btc-15m,2026-08-12 22:30:04.333000+00:00,2026-08-12 23:03:19.830000+00:00,2026-08-13,6,895.6670000553131,-1.5,1.5,False,True,,2026-08-12T22:50:55.032Z,,,-355.032,,0.015,0.31,,,,,,,,
btc-updown-5m-1786575000,btc-5m,2026-08-12 22:45:05.817000+00:00,2026-08-12 23:01:42.526000+00:00,2026-08-13,6,294.18300008773804,-1.45,1.45,False,True,,2026-08-12T22:51:42.648Z,,,-102.648,,0.002,0.29,,,,,,,,
btc-updown-5m-1786574700,btc-5m,2026-08-12 22:40:02.445000+00:00,2026-08-12 22:55:47.934000+00:00,2026-08-13,6,297.5550000667572,2.1,2.9,True,False,2026-08-12T22:48:01.340Z,2026-08-12T22:46:49.996Z,2026-08-12T22:48:01.340Z,-181.34,-109.996,0.011,0.005,0.29,,,,,,,,
btc-updown-5m-1786574400,btc-5m,2026-08-12 22:35:03.659000+00:00,2026-08-12 22:50:47.551000+00:00,2026-08-13,6,296.34100008010864,2.55,2.45,True,False,2026-08-12T22:42:42.896Z,2026-08-12T22:43:08.508Z,2026-08-12T22:43:08.508Z,-188.508,-162.896,0.017,0.016,0.29,,,,,,,,
btc-updown-15m-1786573800,btc-15m,2026-08-12 22:15:07.462000+00:00,2026-08-12 22:50:26.139000+00:00,2026-08-13,6,892.5380001068115,-1.2,1.2,False,True,2026-08-12T22:33:14.076Z,,,,-194.076,0.002,,0.31,,,,,,,,
btc-updown-5m-1786574100,btc-5m,2026-08-12 22:30:06.523000+00:00,2026-08-12 22:45:35.138000+00:00,2026-08-13,6,293.47699999809265,2.2,2.8,True,False,2026-08-12T22:35:45.818Z,2026-08-12T22:35:05.184Z,2026-08-12T22:35:45.818Z,-45.818,-5.184,0.002,0.06,0.29,,,,,,,,
btc-updown-5m-1786573800,btc-5m,2026-08-12 22:25:05.396000+00:00,2026-08-12 22:40:23.374000+00:00,2026-08-13,6,294.60400009155273,-1.2,1.2,False,True,2026-08-12T22:30:24.563Z,,,,-24.563,0.258,,0.29,,,,,,,,
btc-updown-5m-1786573500,btc-5m,2026-08-12 22:20:02.819000+00:00,2026-08-12 22:35:40.752000+00:00,2026-08-13,6,297.18099999427795,2.15,2.85,True,False,2026-08-12T22:26:34.786Z,2026-08-12T22:25:43.547Z,2026-08-12T22:26:34.786Z,-94.786,-43.547,0.008,0.004,0.29,,,,,,,,
btc-updown-15m-1786572900,btc-15m,2026-08-12 22:00:06.165000+00:00,2026-08-12 22:35:19.941000+00:00,2026-08-13,6,893.835000038147,2.25,2.75,True,False,2026-08-12T22:26:42.693Z,2026-08-12T22:17:10.719Z,2026-08-12T22:26:42.693Z,-702.693,-130.719,0.028,0.02,0.31,,,,,,,,
btc-updown-5m-1786573200,btc-5m,2026-08-12 22:15:06.038000+00:00,2026-08-12 22:30:24.059000+00:00,2026-08-13,6,293.9619998931885,2.3,2.7,True,False,2026-08-12T22:22:17.578Z,2026-08-12T22:21:13.773Z,2026-08-12T22:22:17.578Z,-137.578,-73.773,0.025,0.016,0.29,,,,,,,,
btc-updown-5m-1786572900,btc-5m,2026-08-12 22:10:04.307000+00:00,2026-08-12 22:25:16.277000+00:00,2026-08-13,6,295.6930000782013,-1.2,1.2,False,True,,2026-08-12T22:17:05.912Z,,,-125.912,,0.019,0.29,,,,,,,,
btc-updown-5m-1786572600,btc-5m,2026-08-12 22:05:05.574000+00:00,2026-08-12 22:21:46.222000+00:00,2026-08-13,6,294.4260001182556,-1.0,1.0,False,True,,2026-08-12T22:10:56.880Z,,,-56.88,,0.023,0.29,,,,,,,,
btc-updown-15m-1786572000,btc-15m,2026-08-12 21:45:09.302000+00:00,2026-08-12 22:19:58.256000+00:00,2026-08-13,5,890.6979999542236,2.05,2.95,True,False,2026-08-12T22:01:30.298Z,2026-08-12T22:03:45.552Z,2026-08-12T22:03:45.552Z,-225.552,-90.298,0.839,0.004,0.31,,,,,,,,
btc-updown-5m-1786572300,btc-5m,2026-08-12 22:00:04.153000+00:00,2026-08-12 22:16:44.035000+00:00,2026-08-13,6,295.84699988365173,3.5,1.5,True,False,2026-08-12T22:09:18.692Z,2026-08-12T22:06:32.331Z,2026-08-12T22:09:18.692Z,-258.692,-92.331,0.015,0.054,0.29,,,,,,,,
